,book,author,price
317,เล่ห์ร้ายคลั่งรัก (หลงเธอ),กานต์มณี,251.10 บาท
318,เพื่อนสนิทอ้างสิทธิ์รัก,นศามณี,332.10 บาท
319,ณ ราตรีถวิลหา (ห้วงรักดั่งฝัน),กัณฑ์กนิษฐ์,233.10 บาท
320,เด็กเลี้ยงจอมวายร้าย (เด็กเลี้ยงแสนรัก),แก้วชวาลา,296.10 บาท
321,ชีคตามรัก (ชีคร้าย),กานต์มณี,260.10 บาท
322,เสี่ยงรักบุรุษร้าย,พลอยรำพัน,242.10 บาท
323,Flame on Fire เฟลมออนไฟ (เล่มพิเศษ),Lta Luktarn,200.00 บาท
324,เชคาแดนเถื่อน,กัณฑ์กนิษฐ์,260.10 บาท
325,มนตราชลาลัย,รอยไท,279.00 บาท
326,เรือนทาส,ญนันทร,360.00 บาท
327,คดีพิสูจน์รัก The Destiny Case,ของขวัญกล่องเล็ก,225.00 บาท
328,ไพลินนิลกาฬ,คามิเลียสีชมพู,352.00 บาท
