,book,author,price
184,Boxset เซวีน่า มหานครแห่งมนตรา 1-5,กัลฐิดา,"1,800.00 บาท"
185,THE CHANGELING SEA ปาฏิหาริย์แห่งทะเล,แพทริเซีย แมคคิลลิป,202.50 บาท
186,Alphabet of Thorn อาลักษณ์แห่งเรน,แพทริเซีย แมคคิลลิป,328.50 บาท
187,ผู้พิทักษ์แห่งนครสาบสูญ,Shannon Messenger,310.50 บาท
188,Beatrice เบียทริซ ชาติก่อนช่างปะไรฯ ล.1,Ma cherie,281.00 บาท
189,ANCILLARY JUSTICE ปฐมบท มหาสงครามแห่งแร็ดช์,Ann Leckie,301.50 บาท
190,สกันดาร์กับจอมโจรขโมยยูนิคอร์น,A.F. Steadman,276.00 บาท
191,ปล่อยแม่มดคนนั้นซะ เล่ม 10,Er Mu,311.00 บาท
192,หายนะแห่งมนตร์อนธการ,"SCHWAB, V.E.",305.10 บาท
193,มุมมองนักอ่านพระเจ้า เล่ม 8 (ฉบับพิมพ์ครั้งที่ 2),sing N song,247.50 บาท
194,บันทึกรักนักล่าอสูร,Bunthat x Scalab Pro.,296.10 บาท
195,เทพทาโร ต้นไม้นี้มีความลับ,ชลนิล,285.00 บาท
196,ปล่อยแม่มดคนนั้นซะ เล่ม 9,Er Mu,311.00 บาท
197,ร้านมหัศจรรย์สำหรับคนไม่หยุดฝัน เล่ม 2 ตอน ตามหาลูกค้าที่หายไป,อีมีเย,303.00 บาท
198,มุมมองนักอ่านพระเจ้า เล่ม 7 (ฉบับพิมพ์ครั้งที่ 2),sing N song,256.50 บาท
199,THE WITCHER 4 หอคอยนางแอ่น THE TOWER OF THE SWALLOW,อันเดร ซาพคอฟสกี,508.50 บาท
200,ปล่อยแม่มดคนนั้นซะ เล่ม 8,Er Mu,311.00 บาท
201,มุมมองนักอ่านพระเจ้า เล่ม 6 (ฉบับพิมพ์ครั้งที่ 2),sing N song,265.50 บาท
202,อาณาจักรฉ้อฉล : CROOKED KINGDOM,Leigh Bardugo (ลีห์ บาร์ดูโก),445.50 บาท
203,อีกาผยอง : SIX OF CROWS,Leigh Bardugo (ลีห์ บาร์ดูโก),356.00 บาท
204,เมืองต้องมนตร์ คนขโมยหนังสือ,ฟุกะมิโดริ โนวากิ,323.10 บาท
205,หัวใจที่สูญหายและต้นไม้แห่งการเริ่มต้น,นัตสึคาวะ โซสุเกะ,255.00 บาท
206,สัตว์มหัศจรรย์ ความลับของดัมเบิลดอร์ ต้นฉบับบทภาพยนตร์ฉบับสมบูรณ์,"J.K. ROWLING & STEVE KLOVES (เจ. เค. โรว์ลิง, สตีฟ โคลฟส์)",396.00 บาท
207,Box Set ตำนานกรีชา ชุด อีกาผยอง,Leigh Bardugo (ลีห์ บาร์ดูโก),796.00 บาท
208,ปล่อยแม่มดคนนั้นซะ เล่ม 7,Er Mu,350.10 บาท
209,บ้านข้ามเวลาสำหรับเยียวยาความเจ็บปวด,คิมฮายอน,225.00 บาท
210,มุมมองนักอ่านพระเจ้า เล่ม 5 (ฉบับพิมพ์ครั้งที่ 2),sing N song,265.50 บาท
211,มุมมองนักอ่านพระเจ้า เล่ม 4 (ฉบับพิมพ์ครั้งที่ 2),sing N song,265.50 บาท
212,โลกแห่งมหาศึกชิงบัลลังก์ (ใหม่/ปกแข็ง),จอร์จ อาร์. อาร์. มาร์ติน,"1,435.50 บาท"
213,ปล่อยแม่มดคนนั้นซะ เล่ม 6,Er Mu,350.10 บาท
214,คืนนี้ผมต้องเล่าเรื่องผีให้คุณแม่มดฟัง,เจ.เอ.ไวต์ (J.A. White),292.50 บาท
