,book,author,price
205,คุณบอดี้การ์ดพาร์ตไทม์ เล่ม 3 (เล่มจบ),ลวี่เหยี่ยเชียนเฮ่อ,400.50 บาท
206,Sharing love #หิรัญปันดาว,25.15.66,270.00 บาท
207,Crush On (Friend) You're Mine #มายเฟรนด์มายเซน,SmallWorld3me,422.10 บาท
208,พ้นเที่ยงคืนกลืนมิติ  เล่ม 2,เหยียนเหลียงอวี่,431.10 บาท
209,พ้นเที่ยงคืนกลืนมิติ เล่ม 1,เหยียนเหลียงอวี่,449.10 บาท
210,โลกแห่งไพ่ เล่ม 4,เตี๋ยจือหลิง (Die Zhiling),436.50 บาท
211,ห้องสมุดปีศาจ เล่ม 4 (จบ),Nong Qing Feng,360.00 บาท
212,สามีคนนี้คือรักแรกพบครับ เล่ม 2 (เล่มจบ),สามหนึ่งสองหนึ่ง,395.10 บาท
213,สามีคนนี้คือรักแรกพบครับ  เล่ม 1,สามหนึ่งสองหนึ่ง,395.10 บาท
214,SET Heroin Are you addicted? ภาค 2,Chai ji dan,675.00 บาท
215,SET Heroin Are you addicted? ภาค 1,Chai ji dan,"1,259.10 บาท"
216,Written จดจารลงกลางใจ,ณ วงโคจร (Na WongKoJeon),350.10 บาท
217,Love Sea ต้องรักมหาสมุทร,MAME,495.00 บาท
218,เล่ห์บุษบรรณ,AveryPie,360.00 บาท
219,Blank เติมคำว่ารักลงในช่องว่าง (ปกใหม่),เพชรไพลิน (เจ้าปลาน้อย),395.10 บาท
220,หนานฉาน เล่ม 4,ถังจิ่วชิง,315.00 บาท
221,ชุด เทียนซือ คู่ป่วนผจญวิญญาณ ภาค 3  เล่ม 12,ฝานลั่ว,477.00 บาท
222,ทั่วยุทธภพมีแต่สิ่งอัศจรรย์พันลึก เล่ม 4 จบ,อวี่เซี่ยวหลานซาน,445.50 บาท
223,ฉานชื่อผิ่น ดาราจักรไร้สมบูรณ์ เล่ม  3,Priest (พีต้า),346.50 บาท
224,ฉานชื่อผิ่น ดาราจักรไร้สมบูรณ์  เล่ม 4,Priest (พีต้า),373.50 บาท
225,วันๆกับนายท่านหมา เล่ม 3 (จบ),อีซื่อหัวฉาง,408.50 บาท
226,วันๆกับนายท่านหมา เล่ม 2,อีซื่อหัวฉาง,380.00 บาท
227,โปรดรังแกฉันทีคุณนางร้าย  เล่ม 3,Chi Se,315.00 บาท
228,ชุด ลุ่มหลงในกลิ่นไวน์ เล่ม 1-2 (จบ),ไหน่โขวข่า,783.00 บาท
229,ได้ยินว่านายจะแต่งฉันเป็นภรรยา เล่ม 5,หานเหมยโม่เซียง,441.00 บาท
230,ระบบพลิกชะตาของตัวประกอบ เล่ม 2,จวี๋จื่อโจว,396.00 บาท
231,กลายเป็นท่านเทพในเกมสยองขวัญ เล่ม 11,หูอวี๋ล่าเจียว,400.50 บาท
232,ทั่วยุทธภพมีแต่สิ่งอัศจรรย์พันลึก เล่ม3,อวี่เซี่ยวหลานซาน,421.00 บาท
233,มงกุฎเลือด เล่ม 4,สุ่ยเชียนเฉิง,403.00 บาท
234,ชะตารักลิขิตบัลลังก์ เล่ม 1,ป๋ายเจี้ยจื่อ,442.00 บาท
235,Killer Star ซุป'ตาร์นักฆ่าคือผมเอง!  เล่ม 3,ไหน้อยลูเซีย,425.00 บาท
236,ชุด คลื่นขวางพ้นนที เล่ม 3-4 (จบ),หยางซู,846.00 บาท
237,พันธนาการเงือก เล่ม 4,หลินเฉียน,427.50 บาท
238,รวมพลราชาปีศาจอีสปอร์ต เล่ม 1,ชิงเหมยเจี้ยง,408.00 บาท
239,คำสาบานแห่งพันธสัญญาเงือก เล่ม 5,Yin Ye,366.00 บาท
240,มงกุฎเลือด เล่ม 3,สุ่ยเชียนเฉิง,391.00 บาท
241,บรรจบยามหิมะโปรย เล่ม 1,หยางซู่,584.10 บาท
242,บรรจบยามหิมะโปรย เล่ม 2 (จบ) + เล่มพิเศษ,หยางซู่,584.10 บาท
243,ชุด หมื่นคีรีพานพบ เล่ม 3-4 (จบ),หยางซู,850.00 บาท
244,สามัญชนคนนี้ อย่าอวดดีจะได้ไหมคะ  เล่ม 1,อิโนริ,298.00 บาท
245,ดั่งศิลาซ่อนหยก เล่ม 2,ฉิ่งจวินโม่เสี้ยว,357.00 บาท
246,ทำไงดีเกมนี้นางร้ายน่ารัก เล่ม 5 (จบ),อิโนริ,298.00 บาท
247,คู่มือลับฉบับเลสเบี้ยนในโรงเรียนคาทอลิก,Sonora Reyes,332.00 บาท
248,ปั่นงานรักฉบับยูริ ก่อนเดดไลน์ เล่ม  1,โยมิ ฮิราซากะ,298.00 บาท
249,กระจอกอย่างแกยังไงก็แพ้จอมมาร เล่ม 3,KIKI,315.00 บาท
250,มังกรเป็นของเหมย,dreamin!,297.00 บาท
251,Shark's Dominion สังเวยฉลาม,CORPSEBRIDE,339.00 บาท
252,แต่งงานสามครั้งกับปลาเค็ม เล่ม 2,ปี่ข่าปี่,509.00 บาท
253,QR CODE เกมท้าลิขิต พิชิตชะตา เล่ม 2,ซิงเซ่ออวี่อี้,424.00 บาท
254,Act of Evil,canis,368.10 บาท
255,ชุด นายท่านคนนั้นน่ะ มาเอาลูกไปเลี้ยงที 2 เล่มจบ,เสี่ยวหลิน,593.10 บาท
256,มายาปักษี,ขอไข่ขึงขัง,356.00 บาท
257,I know you died ผมรู้จักเขาเมื่อวันเขาตาย,Newpiney,341.10 บาท
258,Boxset หยดฝนกลิ่นสนิม 2 เล่มจบ,SIXTEENSEVEN (ซิกทีนเซเว่น),"1,189.00 บาท"
259,สู่ฝันที่มีฉันและคุณโลมา เล่ม 2,เจียวถังตงกวา (Jiao Tang Dong Gua),442.00 บาท
260,ทฤษฎีย้อนดักพันธนาการ เล่ม 3,เจียวถังตงกวา (Jiao Tang Dong Gua),315.00 บาท
261,ภรรยาหนุ่มวาสนาดี เล่ม 3 (จบ),Yu Lai Chi,306.00 บาท
262,อัจฉริยะครองโลก เล่ม 3,เฟิงหลิวซูไต (Feng Liu Shu Dai),417.00 บาท
263,อาชญากรรม (รัก) เหนือคลื่น กลืนสมุทร เล่ม 3,Huai Shang,404.10 บาท
